"","play_id","play_time","weather_time","condition","temp","wind_dir","wind_speed","precip"
"57",1387,2018-09-06 22:01:36,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"58",1402,2018-09-06 22:01:36,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"59",1423,2018-09-06 22:03:38,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"60",1452,2018-09-06 22:04:38,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"61",1473,2018-09-06 22:05:39,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"62",1508,2018-09-06 22:06:40,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"63",1529,2018-09-06 22:07:40,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"64",1546,2018-09-06 22:07:40,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"65",1568,2018-09-06 22:09:42,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"66",1587,2018-09-06 22:10:42,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"67",1606,2018-09-06 22:11:43,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"68",1628,2018-09-06 22:12:44,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"69",1662,2018-09-06 22:13:44,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"70",1680,2018-09-06 22:13:44,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"71",1715,2018-09-06 22:15:46,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"72",1750,2018-09-06 22:16:46,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"73",1779,2018-09-06 22:17:47,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"74",1801,2018-09-06 22:18:48,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"75",1823,2018-09-06 22:19:48,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"76",1850,2018-09-06 22:19:48,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"77",1869,2018-09-06 22:21:50,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"78",1894,2018-09-06 22:22:50,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"79",1916,2018-09-06 22:23:51,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"80",1940,2018-09-06 22:24:52,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"81",1962,2018-09-06 22:25:52,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"82",1989,2018-09-06 22:25:52,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"83",2032,2018-09-06 22:27:54,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"84",2055,2018-09-06 22:28:54,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"85",2077,2018-09-06 22:29:55,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"86",2094,2018-09-06 22:29:55,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"87",2116,2018-09-06 22:31:56,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"88",2140,2018-09-06 22:32:57,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"89",2157,2018-09-06 22:32:57,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"90",2187,2018-09-06 22:34:58,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"91",2208,2018-09-06 22:35:59,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"92",2225,2018-09-06 22:52:00,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
